NAME,index,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type,dist_to_plaque,dist_to_tau
35239,5791,20595,12705,6178,3811,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35240,5792,12032,12683,3609,3804,13months-disease-replicate_1,CA1,CA1-Ex,139.0,207
35241,5793,7600,12744,2280,3823,13months-disease-replicate_1,CA1,CA1-Ex,,179
35242,5794,5494,12702,1648,3810,13months-disease-replicate_1,Endo,Endo1,165.0,172
35243,5795,11052,12713,3315,3813,13months-disease-replicate_1,CA1,CA1-Ex,,203
35244,5796,11170,12715,3351,3814,13months-disease-replicate_1,CA1,CA1-Ex,,160
35245,5797,17785,12715,5335,3814,13months-disease-replicate_1,Oligo,Oligo1,206.0,139
35246,5798,20434,12711,6130,3813,13months-disease-replicate_1,Micro,Micro1,,
35247,5799,9993,12731,2997,3819,13months-disease-replicate_1,CA1,CA1-Ex,,158
35248,5800,10526,12727,3157,3818,13months-disease-replicate_1,Inh,Vip,,121
35249,5801,21628,12716,6488,3814,13months-disease-replicate_1,CTX-Ex,CTX-Ex2,,212
35250,5802,18650,12716,5595,3814,13months-disease-replicate_1,Oligo,Oligo1,182.0,133
35251,5803,21479,12730,6443,3819,13months-disease-replicate_1,Oligo,Oligo1,,
35252,5804,2321,12717,696,3815,13months-disease-replicate_1,Oligo,Oligo1,,
35253,5805,10780,12719,3234,3815,13months-disease-replicate_1,CA1,CA1-Ex,,146
35254,5806,11797,12744,3539,3823,13months-disease-replicate_1,Astro,Astro1,,88
35255,5807,1098,12728,329,3818,13months-disease-replicate_1,Oligo,Oligo1,,
35256,5808,1365,12730,409,3819,13months-disease-replicate_1,Astro,Astro1,,
35258,5809,19224,12729,5767,3818,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35259,5810,4914,12737,1474,3821,13months-disease-replicate_1,Oligo,Oligo1,,186
35260,5811,2496,12745,748,3823,13months-disease-replicate_1,Oligo,Oligo1,,
35261,5812,12570,12737,3771,3821,13months-disease-replicate_1,Endo,Endo1,38.0,202
35262,5813,2081,12746,624,3823,13months-disease-replicate_1,Oligo,Oligo1,,
35264,5814,9328,12735,2798,3820,13months-disease-replicate_1,CA1,CA1-Ex,,133
35265,5815,9520,12711,2856,3813,13months-disease-replicate_1,CA1,CA1-Ex,,102
35266,5816,10947,12745,3284,3823,13months-disease-replicate_1,CA1,CA1-Ex,,165
35267,5817,17967,12745,5390,3823,13months-disease-replicate_1,Astro,Astro3,175.0,108
35268,5818,1870,12756,561,3826,13months-disease-replicate_1,Astro,Astro3,,
35269,5819,9788,12741,2936,3822,13months-disease-replicate_1,Inh,Pvalb,,154
35270,5820,2155,12761,646,3828,13months-disease-replicate_1,Oligo,Oligo1,,
35271,5821,20730,12748,6219,3824,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35272,5822,3515,12753,1054,3825,13months-disease-replicate_1,Oligo,Oligo3,,154
35273,5823,7833,12748,2349,3824,13months-disease-replicate_1,CA1,CA1-Ex,,188
35274,5824,4974,12754,1492,3826,13months-disease-replicate_1,Oligo,Oligo2,197.0,187
35275,5825,8727,12781,2618,3834,13months-disease-replicate_1,CA1,CA1-Ex,38.0,159
35276,5826,11474,12743,3442,3822,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,150
35277,5827,8282,12753,2484,3825,13months-disease-replicate_1,Inh,Lamp5,147.0,104
35278,5828,8049,12755,2414,3826,13months-disease-replicate_1,CA1,CA1-Ex,,151
35279,5829,10676,12758,3202,3827,13months-disease-replicate_1,CA1,CA1-Ex,,154
35280,5830,9419,12742,2825,3822,13months-disease-replicate_1,CA1,CA1-Ex,,133
35281,5831,11712,12768,3513,3830,13months-disease-replicate_1,CA1,CA1-Ex,,114
35282,5832,21320,12773,6396,3831,13months-disease-replicate_1,Oligo,Oligo1,,
35283,5833,5199,12774,1559,3832,13months-disease-replicate_1,Astro,Astro1,212.0,164
35284,5834,9661,12778,2898,3833,13months-disease-replicate_1,CA1,CA1-Ex,,62
35285,5835,2240,12775,672,3832,13months-disease-replicate_1,Oligo,Oligo1,,
35286,5836,3155,12779,946,3833,13months-disease-replicate_1,SMC,S1,,
35287,5837,4514,12780,1354,3834,13months-disease-replicate_1,Oligo,Oligo3,153.0,205
35288,5838,8496,12778,2548,3833,13months-disease-replicate_1,CA1,CA1-Ex,85.0,157
35289,5839,11274,12780,3382,3834,13months-disease-replicate_1,CA1,CA1-Ex,,165
35290,5840,11577,12796,3473,3838,13months-disease-replicate_1,Inh,Pvalb,,152
35291,5841,2553,12792,765,3837,13months-disease-replicate_1,Oligo,Oligo3,,
35292,5842,3039,12783,911,3834,13months-disease-replicate_1,OPC,OPC,,
35293,5843,4672,12798,1401,3839,13months-disease-replicate_1,Astro,Astro3,145.0,159
35294,5844,6851,12786,2055,3835,13months-disease-replicate_1,Inh,Sst,,160
35295,5845,16390,12796,4917,3838,13months-disease-replicate_1,Oligo,Oligo1,,143
35296,5846,10171,12791,3051,3837,13months-disease-replicate_1,CA1,CA1-Ex,,150
35297,5847,10878,12811,3263,3843,13months-disease-replicate_1,CA1,CA1-Ex,,112
35298,5848,12027,12787,3608,3836,13months-disease-replicate_1,Endo,Endo1,147.0,137
35299,5849,10379,12790,3113,3837,13months-disease-replicate_1,CA1,CA1-Ex,,154
35300,5850,9140,12785,2742,3835,13months-disease-replicate_1,CA1,CA1-Ex,123.0,115
35301,5851,17900,12798,5370,3839,13months-disease-replicate_1,Oligo,Oligo1,,132
35302,5852,8869,12808,2660,3842,13months-disease-replicate_1,CA1,CA1-Ex,46.0,168
